Name,Team,Year,Gold,Silver,Bronze
Abby Bishop,Australia,2012,0,0,1
Abby Dahlkemper,United States,2020,0,0,1
Abby Dent,Canada,2024,0,1,0
Abby Erceg,New Zealand,2008,0,0,0
Abby Erceg,New Zealand,2012,0,0,0
Abby Erceg,New Zealand,2016,0,0,0
Abby Erceg,New Zealand,2020,0,0,0
Abby Gustaitis,United States,2020,0,0,0
Abclvio Rodrigues,Brazil,1984,0,0,0
Abclvio Rodrigues,Brazil,1988,0,0,0
Abdal Al-dabaji,Palestine,2004,0,0,0
Abdalelah Hassan,Qatar,2016,0,0,0
Abdalla Abdelaziz,Egypt,2020,0,0,0
Abdalla Ahmed,Egypt,2008,0,0,0
Abdalla Ahmed,Sudan,2024,0,0,0
Abdalla Al-sebaei,Syria,1996,0,0,0
Abdalla El-sheikh,Sudan,2008,0,0,0
Abdalla Mohamed,Egypt,2004,0,0,0
Abdalla Yousif,Sudan,2016,0,0,0
Abdallah Juma,Kenya,1992,0,0,0
Abdallah Kounta,France,2024,0,0,0
Abde Ezzalzouli,Morocco,2024,0,0,1
Abdel Abdallah,Tunisia,1984,0,0,0
Abdel Abdallah,Tunisia,1988,0,0,0
Abdel Abdelgawwad,Egypt,2016,0,0,0
Abdel Achik,Morocco,1988,0,0,1
Abdel Ahmed,Egypt,2008,0,0,0
Abdel Al-dolmy,Morocco,1984,0,0,0
Abdel Al-kaaki,Lebanon,2004,0,0,0
Abdel Bouanani,Algeria,1996,0,0,0
Abdel Boulehia,Algeria,1996,0,0,0
Abdel Bounour,Algeria,1984,0,0,0
Abdel Chkhmani,France,1996,0,0,0
Abdel Chorfi,Morocco,1996,0,0,0
Abdel Chorfi,Morocco,2000,0,0,0
Abdel Djaziri,Algeria,2004,0,0,0
Abdel Djemil,Algeria,1984,0,0,0
Abdel El-aouad,Morocco,1984,0,0,0
Abdel El-aouad,Morocco,1992,0,0,0
Abdel El-gazzar,Egypt,1984,0,0,0
Abdel El-ghrissi,Morocco,1984,0,0,0
Abdel El-hadi,Libya,1988,0,0,0
Abdel El-hadrioui,Morocco,1992,0,0,0
Abdel El-husseini,Egypt,1984,0,0,0
Abdel El-husseini,Egypt,1988,0,0,0
Abdel El-khattari,Morocco,2000,0,0,0
Abdel El-mouaziz,Morocco,1996,0,0,0
Abdel El-mouaziz,Morocco,2000,0,0,0
Abdel El-wassimy,Egypt,1984,0,0,0
Abdel El-yazi,Egypt,1992,0,0,0
Abdel Essafoui,Morocco,1996,0,0,0
Abdel Ferguene,Algeria,1984,0,0,0
Abdel Ferguene,Algeria,1988,0,0,0
Abdel Guriguer,Morocco,1992,0,0,0
Abdel Harkat,Algeria,1992,0,0,0
Abdel Harkat,Algeria,1996,0,0,0
Abdel Ibrahim,Egypt,2008,0,0,0
Abdel Jebahi,France,2000,0,0,0
Abdel Kasbane,Morocco,1992,0,0,0
Abdel Kenzi,Algeria,2000,0,0,0
Abdel Kenzi,Algeria,2004,0,0,0
Abdel Khalaf,Egypt,1984,0,0,0
Abdel Klouchi,Algeria,1992,0,0,0
Abdel Lamris,Morocco,1984,0,0,0
Abdel Latif,Egypt,1988,0,0,0
